2025-07-16 19:27:49
density=1,type_number=20,gamma=1,w_std=0.5,r_min=0,dist_hyperpara=10,dist_type=geo_new
gamma OFF COL
0.1,1.0,0.091
0.2,1.0,0.165
0.3,1.0,0.233
0.4,1.0,0.299
0.5,1.0,0.352
0.6,1.0,0.394
0.7,1.0,0.45
0.8,1.0,0.489
0.9,1.0,0.528
1,1.0,0.57
2,1.0,0.624
3,1.0,0.627
4,1.0,0.613
5,1.0,0.636
6,1.0,0.638
7,1.0,0.635
8,1.0,0.628
9,1.0,0.63
10,1.0,0.628
2025-07-16 19:28:58
density=1,type_number=20,gamma=1,w_std=1,r_min=0,dist_hyperpara=10,dist_type=geo_new
gamma OFF COL
0.1,1.0,0.094
0.2,1.0,0.176
0.3,1.0,0.245
0.4,1.0,0.312
0.5,1.0,0.357
0.6,1.0,0.412
0.7,1.0,0.466
0.8,1.0,0.508
0.9,1.0,0.565
1,1.0,0.579
2,1.0,0.623
3,1.0,0.646
4,1.0,0.652
5,1.0,0.66
6,1.0,0.659
7,1.0,0.658
8,1.0,0.655
9,1.0,0.661
10,1.0,0.656
2025-07-16 19:30:06
density=1,type_number=20,gamma=1,w_std=3,r_min=0,dist_hyperpara=10,dist_type=geo_new
gamma OFF COL
0.1,1.0,0.098
0.2,1.0,0.179
0.3,1.0,0.244
0.4,1.0,0.316
0.5,1.0,0.379
0.6,1.0,0.44
0.7,1.0,0.479
0.8,1.0,0.525
0.9,1.0,0.561
1,1.0,0.607
2,1.0,0.65
3,1.0,0.658
4,1.0,0.665
5,1.0,0.663
6,1.0,0.656
7,1.0,0.666
8,1.0,0.664
9,1.0,0.662
10,1.0,0.663
2025-07-16 19:31:14
density=1,type_number=20,gamma=1,w_std=5,r_min=0,dist_hyperpara=10,dist_type=geo_new
gamma OFF COL
0.1,1.0,0.092
0.2,1.0,0.18
0.3,1.0,0.23
0.4,1.0,0.304
0.5,1.0,0.379
0.6,1.0,0.432
0.7,1.0,0.475
0.8,1.0,0.516
0.9,1.0,0.562
1,1.0,0.614
2,1.0,0.661
3,1.0,0.658
4,1.0,0.661
5,1.0,0.673
6,1.0,0.674
7,1.0,0.684
8,1.0,0.667
9,1.0,0.656
10,1.0,0.68
